CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn
a1af5737-e8ac-4c67-b076-3633a234c477,56,Male,One year,107.19,750.33,Yes,No,7,Yes,Credit card (automatic),No
fa8181f2-6c21-4b9d-8a0f-26a5c4176990,69,Female,Month-to-month,88.74,2129.76,No,DSL,24,Yes,Mailed check,No
3d22d62d-1c88-4d1a-a096-a2917ea430d4,46,Female,Month-to-month,31.16,997.12,Yes,Fiber optic,32,No,Mailed check,No
93bf46fd-fa0d-43a2-825b-953c9fa46118,32,Male,Two year,34.77,904.02,No,Fiber optic,26,No,Bank transfer (automatic),No
f5652f23-b8f0-4ac9-8316-4adbdc339fad,60,Male,One year,62.81,1444.63,Yes,DSL,23,Yes,Credit card (automatic),Yes
9d70201d-ffa9-4b74-816f-d965f729d622,25,Female,Month-to-month,39.57,553.98,No,Fiber optic,14,Yes,Electronic check,No
07e10357-22c8-455c-b1e4-4a5c34ddb509,38,Female,Two year,22.78,660.62,No,DSL,29,No,Electronic check,No
3aaa78e4-034b-455c-accf-34a22540525b,56,Female,One year,100.5,2512.5,Yes,No,25,Yes,Electronic check,No
5a443fac-46a0-44ed-b603-c1b5e432aa1d,36,Female,Month-to-month,21.95,680.45,Yes,DSL,31,Yes,Electronic check,No
024c8925-5ae6-41dc-bc36-0651126b117b,40,Female,One year,103.07,206.14,No,Fiber optic,2,Yes,Mailed check,Yes
8fca4cc2-4485-4f29-932f-a1522eb4832e,28,Female,One year,34.41,68.82,Yes,Fiber optic,2,No,Mailed check,No
23683464-986a-476d-8d3d-3b57d8181fd5,28,Female,Month-to-month,117.47,2701.81,No,Fiber optic,23,Yes,Bank transfer (automatic),No
84e9d953-d993-4d99-963f-afc609a47ac6,41,Male,Month-to-month,80.39,884.29,Yes,No,11,No,Electronic check,No
868ef681-21dc-460e-86b7-d623e4600044,53,Female,Month-to-month,93.5,2711.5,Yes,DSL,29,No,Mailed check,No
d99ec0eb-4901-427d-8a14-66f74f021498,57,Female,One year,31.05,1086.75,No,DSL,35,No,Mailed check,No
6b17008c-02b6-4fd7-ab6c-eab2bcc85c15,41,Male,One year,106.21,955.89,No,Fiber optic,9,Yes,Mailed check,No
cb2b36c0-3205-427d-9902-8e0cb549876a,20,Female,Two year,103.92,3325.44,Yes,DSL,32,Yes,Electronic check,No
df47fd22-06d2-4059-9170-bce17083113a,39,Female,One year,85.3,2559.0,Yes,Fiber optic,30,Yes,Mailed check,No
e407b725-048d-47dd-bd6d-82407008e9f3,19,Male,Month-to-month,70.23,1053.45,Yes,DSL,15,No,Credit card (automatic),No
a68800b5-cd48-4b51-abf9-7b3fd02ae786,41,Female,One year,92.15,1290.1,Yes,No,14,Yes,Electronic check,No
8cd5cfa8-a585-4fdd-b909-8e5513709fd7,61,Male,Two year,20.59,350.03,No,No,17,Yes,Electronic check,No
b4dd38ea-e522-4ed2-848e-b8ba4f8e3bfb,47,Male,Two year,79.24,1743.28,No,DSL,22,No,Credit card (automatic),No
e09d9081-3ba3-4d8c-a024-33d4a4881f1e,55,Male,Month-to-month,104.74,3142.2,Yes,No,30,No,Bank transfer (automatic),No
51100da6-85a7-4c34-969e-518fa98cc24d,19,Male,Month-to-month,55.69,946.73,No,No,17,No,Bank transfer (automatic),No
67b91832-043b-4dc4-a687-86c5ac944511,38,Female,Two year,30.83,493.28,Yes,No,16,Yes,Electronic check,No
3c27b268-bbc3-4844-89f6-62d0c473d51c,50,Male,Two year,62.09,496.72,Yes,Fiber optic,8,Yes,Electronic check,Yes
3b6bbbea-148b-4288-ba60-bebe08b36621,29,Male,Two year,92.71,2874.01,Yes,DSL,31,Yes,Electronic check,No
4c9fe4ed-43bf-4ee8-893b-9c1c6224d617,39,Female,Month-to-month,30.73,368.76,No,DSL,12,No,Credit card (automatic),No
a0f1c733-1ec6-4d38-bf3b-9fda275df6f4,61,Male,Two year,40.6,1339.8,Yes,Fiber optic,33,Yes,Mailed check,Yes
f5e0c713-6985-47b2-94ed-4fe92531ea59,42,Male,Two year,34.76,417.12,No,Fiber optic,12,No,Credit card (automatic),No
a463e602-9ade-4a9f-8620-2eaab3334aa9,66,Male,Month-to-month,99.69,2492.25,No,No,25,Yes,Mailed check,No
41c56a12-5d34-43bd-854d-4ede373ef3af,44,Male,One year,26.29,473.22,Yes,DSL,18,Yes,Mailed check,Yes
a999009c-ea63-4ab2-ae88-5d680c783a92,59,Female,One year,88.66,1684.54,No,Fiber optic,19,Yes,Bank transfer (automatic),No
3cf9a3c4-acc9-4628-999b-a4ece84b14d4,45,Male,Two year,56.65,169.95,Yes,No,3,Yes,Credit card (automatic),No
392f0c53-9bcd-4f1c-bb98-93ac470a75f9,33,Female,One year,95.58,3345.3,Yes,DSL,35,Yes,Credit card (automatic),No
cce94b52-e7fa-4e0a-bb9f-625f1574b8fe,32,Female,One year,116.44,582.2,No,No,5,No,Electronic check,No
dc15200e-298e-49cb-9500-73cd05dfa780,64,Male,One year,31.45,1100.75,Yes,DSL,35,No,Credit card (automatic),No
9d78cb8f-fbb7-492e-8493-40933dc5d0d3,68,Male,One year,51.44,1388.88,No,No,27,Yes,Mailed check,No
fddf279b-c853-4cac-afa4-96191f4a38b0,61,Male,Two year,101.01,2121.21,No,DSL,21,Yes,Mailed check,No
